file	ratio	shd	档
514_富永山随_朝右.png	0.884	-0.5219	带
515_丰臣秀次_朝正.png	1.0377	-0.5412	带
517_丰臣秀吉_朝右.png	0.8676	-0.4273	带
517_丰臣秀吉_朝正.png	1.1892	-0.4496	带
535_长野具藤_朝右.png	1.2477	-0.5168	带
537_长野业盛_朝右.png	0.8804	-0.3275	带
542_名古屋山三郎_朝右.png	0.9245	-0.4768	带
545_长束正家_朝正.png	1.0949	-0.5082	带
552_成田长泰_朝右.png	0.9003	-0.5006	带
555_南部利直_朝正.png	1.1881	-0.4984	带
556_南部信直_朝右.png	0.9569	-0.3847	带
557_南部晴政_朝右.png	1.1698	-0.4904	带
564_丹羽长重_朝正.png	1.2055	-0.4715	带
569_祢寝重长_朝右.png	1.024	-0.4985	带
56_安东爱季_朝右.png	1.0374	-0.4543	带
578_畠山高政_朝右.png	0.8787	-0.4972	带
579_畠山义续_朝右.png	0.9151	-0.4912	带
581_波多野晴通_朝右.png	0.8765	-0.4949	带
588_堀立直正_朝右.png	0.9655	-0.5118	带
58_安藤守就_朝右.png	0.9431	-0.4544	带
591_花房职秀_朝右.png	0.9262	-0.4766	带
592_马场信春_朝右.png	0.9129	-0.4523	带
593_林崎甚助_朝正.png	1.2256	-0.4995	带
596_原虎胤_朝右.png	0.9264	-0.4792	带
598_播磨屋宗德_朝正.png	1.1126	-0.5583	带
611_平手泛秀_朝正.png	1.18	-0.2873	带
616_福留亲政_朝正.png	1.1547	-0.4018	带
617_福留仪重_朝正.png	1.1778	-0.4468	带
622_穗井田元清_朝正.png	1.3357	-0.4766	带
624_北条氏邦_朝正.png	1.2051	-0.5183	带
625_北条氏繁_朝正.png	0.9678	-0.426	带
630_北条氏康_朝右.png	1.1622	-0.5327	带
634_保科正俊_朝右.png	1.2733	-0.4113	带
635_安井道顿_朝正.png	1.1294	-0.5335	带
644_堀秀政_朝右.png	1.0403	-0.4151	带
658_前田玄以_朝右.png	0.9323	-0.5176	带
661_前田利政_朝右.png	0.9977	-0.4925	带
664_真壁氏干_朝正.png	1.0996	-0.5382	带
666_真柄直隆_朝正.png	0.8777	-0.3204	带
671_益田元祥_朝右.png	0.8659	-0.4785	带
672_松井康之_朝右.png	1.0758	-0.495	带
677_松平忠吉_朝右.png	0.8746	-0.4826	带
678_松田宪秀_朝右.png	0.8567	-0.5157	带
683_松浦镇信_朝正.png	1.1479	-0.5271	带
685_曲直濑道三_朝正.png	0.9723	-0.4896	带
686_丸目长惠_朝右.png	0.8731	-0.5279	带
687_三云成持_朝右.png	0.9824	-0.5017	带
68_池田元助_朝右.png	1.0127	-0.1394	带
692_水野信元_朝右.png	0.9715	-0.5167	带
695_三刀屋久祐_朝右.png	1.0425	-0.5167	带
701_三好笑岩_朝右.png	1.0397	-0.4381	带
704_三好长庆_朝右.png	0.9019	-0.547	带
713_村上国清_朝正.png	1.1735	-0.5046	带
71_石川昭光_朝右.png	1.0775	-0.5286	带
722_毛利元就_朝右.png	0.8994	-0.5312	带
726_望月六郎_朝右.png	1.1031	-0.4859	带
729_百地三太夫_朝正.png	0.9573	-0.4995	带
731_森忠政_朝右.png	1.3534	-0.5111	带
732_母里太兵卫_朝右.png	0.8595	-0.4129	带
733_森长可_朝右.png	0.8715	-0.4294	带
737_师冈一羽_朝正.png	1.0034	-0.5133	带
73_石川五右卫门_朝右.png	1.0371	-0.2634	带
743_施药院全宗_朝右.png	0.8668	-0.4529	带
745_矢泽赖康_朝右.png	0.8867	-0.4885	带
747_安田显元_朝右.png	1.0636	-0.4966	带
74_石川高信_朝右.png	0.9574	-0.5137	带
751_山崎片家_朝正.png	0.8798	-0.4507	带
752_山崎长德_朝右.png	1.2501	0.0185	带
762_汤浅五助_朝右.png	0.9674	-0.4219	带
769_吉江景资_朝右.png	1.0076	-0.4781	带
771_吉冈清十郎_朝右.png	0.9449	-0.4858	带
783_依冈左京_朝正.png	1.0297	-0.4057	带
78_伊集院忠栋_朝右.png	0.8751	-0.4805	带
791_六角义治_朝右.png	0.9073	-0.4572	带
795_和田昭为_朝正.png	1.0994	-0.5253	带
800_上杉宪政_朝正.png	1.2339	-0.5424	带
81_板仓胜重_朝右.png	0.9475	-0.5366	带
827_松永长赖_朝右.png	1.0006	-0.255	带
832_冷泉隆丰_朝右.png	1.3571	0.0162	带
839_尼子国久_朝正.png	1.2144	-0.2667	带
88_伊地知重兴_朝正.png	0.9795	-0.4034	带
8_赤松义祐_朝正.png	1.07	-0.5316	带
93_一色义道_朝正.png	1.0396	-0.491	带
94_出浦盛清_朝右.png	0.9118	-0.4732	带
1039_阿鲁梅达_朝正.png	1.9584	-0.5151	左
1047_宁宁_朝正.png	2.6231	-0.3573	左
1128_小姓_朝正.png	1.5276	-0.4551	左
1195_片仓重长_朝正.png	1.7146	-0.2064	左
1215_斯波义银_朝右.png	1.4621	-0.5844	左
1225_岛津忠直_朝右.png	1.659	-0.5361	左
1232_甘粕景继_朝右.png	1.6311	-0.4194	左
1240_明智光安_朝正.png	1.4002	-0.6085	左
1246_有马丰氏_朝右.png	1.8904	-0.4473	左
1257_伊达小次郎_朝正.png	1.851	-0.4404	左
1258_金光文右卫门_朝正.png	1.4101	-0.4592	左
1260_多米元忠_朝右.png	1.8329	-0.4691	左
1287_三浦按针_朝右.png	1.878	-0.4984	左
158_大熊朝秀_朝右.png	2.0577	-0.3514	左
167_大友宗麟_朝右.png	1.4653	-0.4573	左
223_糟谷武则_朝右.png	1.8834	-0.2994	左
225_片仓景纲_朝正.png	1.5013	-0.4891	左
302_高力清长_朝正.png	1.4395	-0.4697	左
321_杂贺孙一_朝右.png	1.5316	-0.4776	左
323_斋藤传鬼坊_朝右.png	1.4537	-0.4755	左
328_斋村政广_朝正.png	1.5536	-0.4637	左
340_佐久间盛重_朝右.png	27.3378	0.0142	左
344_笹部勘二郎_朝右.png	1.4418	-0.2745	左
350_佐田彦四郎_朝正.png	2.4085	-0.3415	左
398_志村光安_朝正.png	1.5601	-0.431	左
457_立花直次_朝正.png	1.4867	-0.4907	左
